tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt10300396,movie,Untitled Taika Waititi Star Wars Film,Untitled Taika Waititi Star Wars Film,0,2025,\N,\N,"Action,Adventure,Fantasy"
tt10300398,movie,Untitled Star Wars Film,Untitled Star Wars Film,0,2027,\N,\N,"Action,Adventure,Fantasy"
tt10300450,movie,Laabam,Laabam,0,2021,\N,144,"Action,Drama"
tt10300570,movie,Kadaisi Vivasayi,Kadaisi Vivasayi,0,2021,\N,122,"Comedy,Drama"
tt10302826,movie,La métaphysique du berger,La métaphysique du berger,0,2021,\N,72,Documentary
tt10303148,movie,Wending,Wending,0,2021,\N,\N,\N
tt10303888,movie,The Law of Destiny,La Loi Du Destin,0,2021,\N,\N,Thriller
tt10303926,movie,Volviendo a Casa: Victoria,Volviendo a Casa: Victoria,0,2022,\N,\N,"Action,Drama"
tt10303934,movie,Mi Asesina Aprendiz,Mi Asesina Aprendiz,0,2023,\N,\N,"Comedy,Crime"
tt10303994,movie,The Hostage,The Hostage,0,2021,\N,\N,Drama
tt10304134,movie,Untitled Disney Live Action Project,Untitled Disney Live Action Project,0,2022,\N,\N,\N
tt10304140,movie,Untitled Disney Live Action Project,Untitled Disney Live Action Project,0,2022,\N,\N,\N
tt10304142,movie,Untitled David O. Russell,Untitled David O. Russell,0,2022,\N,\N,"Drama,History"
tt10304194,movie,Untitled Disney Live Action Project,Untitled Disney Live Action Project,0,2022,\N,\N,\N
tt10305228,movie,Creepers 'R Us,Creepers 'R Us,0,2023,\N,\N,"Comedy,Horror"
tt10305256,movie,Alone in the Night,Alone in the Night,0,2022,\N,\N,"Horror,Thriller"
